mmsi,Date,Time,longitude,latitude,sog,cog,heading,vessel_name,imo,call_sign,vessel_type,status,length,width,draft,cargo,transceiver
419104332,2026-03-31,03:43:54,92.20433,12.07062,0.0,33.7,308.0,NAVRATNA PRIDE,,VT2654,35,2.0,30,5.0,,70.0,A
419781618,2026-03-31,10:40:27,79.41702,9.07111,0.0,16.5,,CORAL TRADER,IMO5255341,VU8327,65,8.0,200,34.0,,30.0,A
419564139,2026-03-31,11:27:25,74.98081,12.89954,0.0,95.3,287.0,RAJHANS EXPLORER,,VU8710,55,1.0,18,20.0,,57.0,B
419018451,2026-03-31,10:41:09,80.66305,13.06298,0.0,,,DURGA PRINCE,,8T8095,69,,35,12.0,,31.0,B
419182278,2026-03-31,06:00:43,74.70388,13.12346,0.0,256.6,,AGNI EXPRESS,,8T8393,37,0.0,200,3.0,,31.0,A
419738299,2026-03-31,17:12:33,74.69424,12.88378,1.7,127.5,,PEARL VOYAGER,IMO1333872,AT7317,90,,200,,,99.0,A
419773602,2026-03-31,13:47:52,73.36182,18.81851,0.0,,,YAMUNA I,IMO8050097,8T2081,37,2.0,12,9.0,,70.0,B
419169985,2026-03-31,09:29:39,74.59321,13.02972,0.0,,37.0,VAYU II,IMO8425135,ATG849,51,,120,,,37.0,A
419824493,2026-03-31,12:29:02,74.60839,12.98054,0.0,33.2,141.0,SAMUDRA QUEEN,IMO8680112,AT9826,37,2.0,35,,3.6,31.0,B
419692322,2026-03-31,15:00:40,72.64862,19.23388,0.0,,55.0,KAVERI GLORY,,VU3036,30,7.0,12,10.0,,99.0,A
419142940,2026-03-31,03:56:48,86.8505,20.19198,0.0,138.6,130.0,NAVRATNA PRINCE,,,37,,250,,4.8,52.0,A
419823662,2026-03-31,22:24:36,86.88361,20.23425,0.0,154.7,335.0,DURGA DEVI,IMO2148951,VU4332,37,0.0,80,,1.9,71.0,A
419763201,2026-03-31,15:28:44,74.86755,13.08247,0.0,330.2,,SEA QUEEN VOYAGER,IMO7986872,ATG743,52,,100,30.0,4.4,37.0,A
419581223,2026-03-31,13:56:45,92.17707,11.8477,7.3,149.6,215.0,GANGA EXPLORER,IMO5466889,ATG346,57,,30,,,70.0,A
419990162,2026-03-31,16:48:35,73.64641,15.30609,0.0,274.0,215.0,OSV MEENA,IMO5310033,8T2327,31,1.0,20,25.0,10.6,,A
419241904,2026-03-31,20:57:50,92.57599,12.14981,0.0,,124.0,SEA QUEEN III,IMO9058651,AT0671,57,,200,,,71.0,B
419776945,2026-03-31,08:56:17,79.42898,8.752,4.4,205.1,172.0,YAMUNA PIONEER,IMO5494808,VT3678,60,,200,30.0,1.2,,A
419957885,2026-03-31,15:29:31,85.05543,15.15117,0.0,90.5,98.0,VISHAL PRINCE,,8T8941,53,3.0,35,7.0,9.9,,B
419427109,2026-03-31,10:21:08,82.99749,17.65238,0.9,41.1,251.0,TUG SAMRAT,IMO1318699,VU8677,52,,50,12.0,,,A
419341232,2026-03-31,20:05:50,70.1505,22.50268,0.0,11.7,,SAMUDRA PRINCE,,VU4210,37,,180,,6.5,,A
419887719,2026-03-31,01:27:04,70.31114,17.7036,0.0,,,MATSYA I,IMO2787429,ATG175,30,8.0,250,,,,A
419807154,2026-03-31,11:46:12,70.56491,23.27255,0.0,236.7,211.0,SHIVA GLORY,IMO3482477,,38,,300,7.0,1.2,,A
419712748,2026-03-31,09:57:18,80.27778,13.086,0.0,,,MONSOON VOYAGER,IMO8404499,ATG278,31,,120,34.0,,80.0,A
419360576,2026-03-31,14:03:24,85.95606,15.87718,0.0,,,KAMAL GLORY,,,70,2.0,25,14.0,6.0,,B
419657809,2026-03-31,02:29:28,74.62243,13.01064,0.0,156.2,,KRISHNA,,AT5562,31,3.0,150,7.0,,,B
419923747,2026-03-31,09:17:46,92.6583,12.07869,0.0,,300.0,VIJAY MARINER,,ATG136,83,,28,12.0,11.4,30.0,A
419974395,2026-03-31,07:58:25,88.29221,21.69671,0.0,,330.0,PSV INDRA,,ATG232,57,,35,32.0,4.4,,A
419517123,2026-03-31,14:28:09,85.09733,15.91376,0.0,95.2,,KONKAN III,IMO7098593,ATG461,52,2.0,10,,2.5,60.0,B
419586926,2026-03-31,23:50:41,70.10812,22.98935,0.0,248.4,,KONKAN PIONEER,,VT7139,65,0.0,30,,10.8,,A
419933529,2026-03-31,00:06:11,76.49252,10.24042,0.0,,67.0,GODAVARI,,,57,8.0,12,30.0,,57.0,B
419084700,2026-03-31,17:26:21,78.96478,8.95576,12.8,26.4,311.0,RAJHANS VOYAGER,,AT7896,31,,14,48.0,,36.0,A
419657661,2026-03-31,11:22:46,80.19944,13.23209,2.7,,47.0,INDRA I,IMO8851656,VT4945,53,1.0,20,6.0,3.8,99.0,A
419493689,2026-03-31,22:20:22,92.83079,11.66809,0.0,10.4,,PRIYA EXPLORER,,VT1836,37,8.0,18,16.0,,70.0,A
